H0,freq,S11,S21
0.136,5.8,-0.004180859,-37.54594846
0.136,5.802,-0.004274039,-37.34246941
0.136,5.804,-0.004428481,-37.2273985
0.136,5.806,-0.003833202,-37.04854143
0.136,5.808,-0.00380755,-36.88349689
0.136,5.81,-0.003843366,-36.72480969
0.136,5.812,-0.003956494,-36.57340605
0.136,5.814,-0.003964355,-36.40740958
0.136,5.816,-0.003986096,-36.26146517
0.136,5.818,-0.003947515,-36.09113415
0.136,5.82,-0.003994246,-35.91977686
0.136,5.822,-0.00411316,-35.74452859
0.136,5.824,-0.004134322,-35.56535264
0.136,5.826,-0.004257773,-35.38226127
0.136,5.828,-0.004290173,-35.18627214
0.136,5.83,-0.004428234,-34.98141663
0.136,5.832,-0.004585705,-34.77727944
0.136,5.834,-0.004729816,-34.55744324
0.136,5.836,-0.004822798,-34.31940044
0.136,5.838,-0.005032902,-34.07121087
0.136,5.84,-0.005231461,-33.80778051
0.136,5.842,-0.005524585,-33.52466422
0.136,5.844,-0.005932465,-33.20826712
0.136,5.846,-0.00670375,-32.90186078
0.136,5.848,-0.0068788,-32.52164243
0.136,5.85,-0.00760138,-32.09375105
0.136,5.852,-0.010102684,-31.62607983
0.136,5.854,-0.011569213,-31.03455863
0.136,5.856,-0.016799632,-30.43137545
0.136,5.858,-0.027022491,-29.62522219
0.136,5.86,-0.043853813,-29.61186164
0.136,5.862,-0.075201203,-29.01436254
0.136,5.864,-0.038344313,-27.43076446
0.136,5.866,-0.071045739,-25.3208232
0.136,5.868,-0.159769396,-21.9328877
0.136,5.87,-1.153992112,-14.93204272
0.136,5.872,-0.774472521,-18.08183138
0.136,5.874,-0.132173176,-27.64114701
0.136,5.876,-0.053247539,-34.70983533
0.136,5.878,-0.030528658,-42.040025
0.136,5.88,-0.019994067,-53.93380124
0.136,5.882,-0.015067764,-49.94128579
0.136,5.884,-0.013341084,-44.10118885
0.136,5.886,-0.011202225,-41.59142182
0.136,5.888,-0.00946274,-39.63768379
0.136,5.89,-0.010403907,-38.28882613
0.136,5.892,-0.008508541,-37.28972991
0.136,5.894,-0.008955507,-36.52247232
0.136,5.896,-0.007542903,-35.74178247
0.136,5.898,-0.007652761,-35.09271944
0.136,5.9,-0.00733085,-34.48382751
0.136,5.902,-0.008455162,-33.90091838
0.136,5.904,-0.007827822,-33.48879833
0.136,5.906,-0.007546806,-32.96884725
0.136,5.908,-0.007802141,-32.47527086
0.136,5.91,-0.008024596,-32.02985788
0.136,5.912,-0.008091108,-31.55263724
0.136,5.914,-0.008764436,-31.07414105
0.136,5.916,-0.009336019,-30.65099102
0.136,5.918,-0.009349648,-30.16032567
0.136,5.92,-0.00995554,-29.67659101
0.136,5.922,-0.010889714,-29.16486544
0.136,5.924,-0.011811545,-28.66759242
0.136,5.926,-0.013123493,-28.09677262
0.136,5.928,-0.023638795,-27.45686005
0.136,5.93,-0.017290379,-27.13984248
0.136,5.932,-0.017169083,-26.44557951
0.136,5.934,-0.020229169,-25.74356391
0.136,5.936,-0.025810248,-24.95484017
0.136,5.938,-0.030940587,-24.29757416
0.136,5.94,-0.034764461,-23.29674777
0.136,5.942,-0.048385103,-22.12099147
0.136,5.944,-0.088360801,-20.52011231
0.136,5.946,-0.296970471,-17.86280256
0.136,5.948,-0.706933659,-22.4474445
0.136,5.95,-0.925111834,-20.608908
0.136,5.952,-0.161089661,-22.77698104
0.136,5.954,-0.154963511,-19.19750596
0.136,5.956,-0.60923743,-16.52872139
0.136,5.958,-0.321567978,-15.69751085
0.136,5.96,-0.477921676,-12.93804981
0.136,5.962,-1.135642025,-8.33767284
0.136,5.964,-9.361026773,-3.016731625
0.136,5.966,-10.36658898,-4.960716402
0.136,5.968,-1.381386058,-7.435088031
0.136,5.97,-0.529667126,-11.36575609
0.136,5.972,-0.231223158,-14.29382123
0.136,5.974,-0.157028184,-16.32729534
0.136,5.976,-0.091858508,-18.10623654
0.136,5.978,-0.06618328,-19.58641015
0.136,5.98,-0.051146463,-20.81907956
0.136,5.982,-0.039606271,-21.94428572
0.136,5.984,-0.033434664,-22.96832175
0.136,5.986,-0.046367103,-23.85283636
0.136,5.988,-0.024928742,-24.5587171
0.136,5.99,-0.021975317,-25.3848467
0.136,5.992,-0.019217046,-26.02979097
0.136,5.994,-0.015821451,-26.73947465
0.136,5.996,-0.014178707,-27.40190932
0.136,5.998,-0.013142432,-28.04198318
0.136,6,-0.015528678,-28.66855115
0.136,6.002,-0.011804177,-29.20235478
0.136,6.004,-0.011527388,-29.84506971
0.136,6.006,-0.023109588,-30.50030949
0.136,6.008,-0.011606192,-30.76209325
0.136,6.01,-0.009993338,-31.45140098
0.136,6.012,-0.01042483,-32.10925997
0.136,6.014,-0.013528105,-32.93878515
0.136,6.016,-0.019413922,-33.59542995
0.136,6.018,-0.014429471,-33.8980855
0.136,6.02,-0.014511536,-35.28314033
0.136,6.022,-0.030876048,-36.37189367
0.136,6.024,-0.103634876,-35.13956558
0.136,6.026,-0.025619579,-37.48334382
0.136,6.028,-0.044531607,-42.88829136
0.136,6.03,-0.088705913,-37.44628167
0.136,6.032,-0.095219774,-41.53209088
0.136,6.034,-0.177169511,-31.21382209
0.136,6.036,-1.49139327,-17.86316954
0.136,6.038,-0.19116611,-23.11655283
0.136,6.04,-0.051813513,-26.90833737
0.136,6.042,-0.027522024,-28.93830732
0.136,6.044,-0.042506269,-30.28832325
0.136,6.046,-0.015884741,-30.62939184
0.136,6.048,-0.010777144,-31.48951502
0.136,6.05,-0.009399879,-32.09909241
0.136,6.052,-0.00852713,-32.70525724
0.136,6.054,-0.019891259,-32.96504823
0.136,6.056,-0.006976768,-33.2952572
0.136,6.058,-0.005703845,-33.72603608
0.136,6.06,-0.005234335,-34.09255004
0.136,6.062,-0.005534736,-34.42629878
0.136,6.064,-0.004708709,-34.70410403
0.136,6.066,-0.004437404,-34.99733171
0.136,6.068,-0.004297624,-35.27507723
0.136,6.07,-0.004474458,-35.55187859
0.136,6.072,-0.004478755,-35.7391608
