L_lump,freq,S21
1.21E-08,5.85,-34.41703494
1.21E-08,5.851,-34.33428147
1.21E-08,5.852,-34.25057688
1.21E-08,5.853,-34.16589989
1.21E-08,5.854,-34.08022849
1.21E-08,5.855,-33.99353993
1.21E-08,5.856,-33.90581065
1.21E-08,5.857,-33.81701629
1.21E-08,5.858,-33.72713161
1.21E-08,5.859,-33.63613049
1.21E-08,5.86,-33.54398585
1.21E-08,5.861,-33.45066961
1.21E-08,5.862,-33.35615265
1.21E-08,5.863,-33.26040478
1.21E-08,5.864,-33.16339464
1.21E-08,5.865,-33.06508966
1.21E-08,5.866,-32.96545602
1.21E-08,5.867,-32.86445854
1.21E-08,5.868,-32.76206066
1.21E-08,5.869,-32.65822431
1.21E-08,5.87,-32.55290986
1.21E-08,5.871,-32.44607606
1.21E-08,5.872,-32.33767987
1.21E-08,5.873,-32.22767645
1.21E-08,5.874,-32.11601899
1.21E-08,5.875,-32.00265862
1.21E-08,5.876,-31.88754428
1.21E-08,5.877,-31.77062261
1.21E-08,5.878,-31.65183778
1.21E-08,5.879,-31.53113136
1.21E-08,5.88,-31.40844212
1.21E-08,5.881,-31.28370592
1.21E-08,5.882,-31.15685545
1.21E-08,5.883,-31.02782004
1.21E-08,5.884,-30.89652546
1.21E-08,5.885,-30.76289366
1.21E-08,5.886,-30.6268425
1.21E-08,5.887,-30.48828545
1.21E-08,5.888,-30.34713133
1.21E-08,5.889,-30.20328389
1.21E-08,5.89,-30.0566415
1.21E-08,5.891,-29.90709669
1.21E-08,5.892,-29.75453574
1.21E-08,5.893,-29.59883817
1.21E-08,5.894,-29.4398762
1.21E-08,5.895,-29.27751413
1.21E-08,5.896,-29.11160772
1.21E-08,5.897,-28.94200342
1.21E-08,5.898,-28.76853759
1.21E-08,5.899,-28.59103558
1.21E-08,5.9,-28.40931073
1.21E-08,5.901,-28.22316325
1.21E-08,5.902,-28.03237899
1.21E-08,5.903,-27.836728
1.21E-08,5.904,-27.63596299
1.21E-08,5.905,-27.4298175
1.21E-08,5.906,-27.21800394
1.21E-08,5.907,-27.00021129
1.21E-08,5.908,-26.77610245
1.21E-08,5.909,-26.54531135
1.21E-08,5.91,-26.30743951
1.21E-08,5.911,-26.06205211
1.21E-08,5.912,-25.80867349
1.21E-08,5.913,-25.54678191
1.21E-08,5.914,-25.27580342
1.21E-08,5.915,-24.99510475
1.21E-08,5.916,-24.70398486
1.21E-08,5.917,-24.40166501
1.21E-08,5.918,-24.08727693
1.21E-08,5.919,-23.75984866
1.21E-08,5.92,-23.41828747
1.21E-08,5.921,-23.06135922
1.21E-08,5.922,-22.68766301
1.21E-08,5.923,-22.29560003
1.21E-08,5.924,-21.88333481
1.21E-08,5.925,-21.44874656
1.21E-08,5.926,-20.98936747
1.21E-08,5.927,-20.50230352
1.21E-08,5.928,-19.98413167
1.21E-08,5.929,-19.43076442
1.21E-08,5.93,-18.83726879
1.21E-08,5.931,-18.19762031
1.21E-08,5.932,-17.50436268
1.21E-08,5.933,-16.74812723
1.21E-08,5.934,-15.91693998
1.21E-08,5.935,-14.99519913
1.21E-08,5.936,-13.96213133
1.21E-08,5.937,-12.78941594
1.21E-08,5.938,-11.43750914
1.21E-08,5.939,-9.850199623
1.21E-08,5.94,-7.948478801
1.21E-08,5.941,-5.63695076
1.21E-08,5.942,-2.916558759
1.21E-08,5.943,-0.565036814
1.21E-08,5.944,-0.881529501
1.21E-08,5.945,-3.492614307
1.21E-08,5.946,-6.221111613
1.21E-08,5.947,-8.518080334
1.21E-08,5.948,-10.42097556
1.21E-08,5.949,-12.0249023
1.21E-08,5.95,-13.40475826
1.21E-08,5.951,-14.61350794
1.21E-08,5.952,-15.68850389
1.21E-08,5.953,-16.65661936
1.21E-08,5.954,-17.5376641
1.21E-08,5.955,-18.34658978
1.21E-08,5.956,-19.09492704
1.21E-08,5.957,-19.79174114
1.21E-08,5.958,-20.44428227
1.21E-08,5.959,-21.05843822
1.21E-08,5.96,-21.63905634
1.21E-08,5.961,-22.19017716
1.21E-08,5.962,-22.71520682
1.21E-08,5.963,-23.21704665
1.21E-08,5.964,-23.69819193
1.21E-08,5.965,-24.16080825
1.21E-08,5.966,-24.60679135
1.21E-08,5.967,-25.03781456
1.21E-08,5.968,-25.45536689
1.21E-08,5.969,-25.86078396
1.21E-08,5.97,-26.25527336
1.21E-08,5.971,-26.63993579
1.21E-08,5.972,-27.0157828
1.21E-08,5.973,-27.38375186
1.21E-08,5.974,-27.74471947
1.21E-08,5.975,-28.09951261
1.21E-08,5.976,-28.44891898
1.21E-08,5.977,-28.79369637
1.21E-08,5.978,-29.13458128
1.21E-08,5.979,-29.4722973
1.21E-08,5.98,-29.80756314
1.21E-08,5.981,-30.14110077
1.21E-08,5.982,-30.47364385
1.21E-08,5.983,-30.80594659
1.21E-08,5.984,-31.13879334
1.21E-08,5.985,-31.47300926
1.21E-08,5.986,-31.80947241
1.21E-08,5.987,-32.14912769
1.21E-08,5.988,-32.49300312
1.21E-08,5.989,-32.84222936
1.21E-08,5.99,-33.19806314
1.21E-08,5.991,-33.56191613
1.21E-08,5.992,-33.93539047
1.21E-08,5.993,-34.32032375
1.21E-08,5.994,-34.71884591
1.21E-08,5.995,-35.13345286
1.21E-08,5.996,-35.56710273
1.21E-08,5.997,-36.02334392
1.21E-08,5.998,-36.50648828
1.21E-08,5.999,-37.02184981
1.21E-08,6,-37.57608115
1.21E-08,6.001,-38.17765985
1.21E-08,6.002,-38.83761101
1.21E-08,6.003,-39.5706191
1.21E-08,6.004,-40.39680866
1.21E-08,6.005,-41.34474022
1.21E-08,6.006,-42.45677104
1.21E-08,6.007,-43.79943614
1.21E-08,6.008,-45.48579941
1.21E-08,6.009,-47.73139801
1.21E-08,6.01,-51.03149137
1.21E-08,6.011,-57.0405936
1.21E-08,6.012,-78.21785925
1.21E-08,6.013,-54.86545268
1.21E-08,6.014,-48.68329846
1.21E-08,6.015,-44.74415435
1.21E-08,6.016,-41.71951145
1.21E-08,6.017,-39.16931384
1.21E-08,6.018,-36.88611364
1.21E-08,6.019,-34.74850398
1.21E-08,6.02,-32.67118636
1.21E-08,6.021,-30.58200849
1.21E-08,6.022,-28.40681642
1.21E-08,6.023,-26.0532699
1.21E-08,6.024,-23.38364893
1.21E-08,6.025,-20.15182765
1.21E-08,6.026,-15.80924306
1.21E-08,6.027,-8.641260436
1.21E-08,6.028,-1.985127994
1.21E-08,6.029,-11.54224141
1.21E-08,6.03,-16.0958635
1.21E-08,6.031,-18.8957705
1.21E-08,6.032,-20.87747299
1.21E-08,6.033,-22.39153823
1.21E-08,6.034,-23.60554675
1.21E-08,6.035,-24.61213406
1.21E-08,6.036,-25.46766948
1.21E-08,6.037,-26.20887737
1.21E-08,6.038,-26.86093705
1.21E-08,6.039,-27.44181131
1.21E-08,6.04,-27.96472824
1.21E-08,6.041,-28.43968599
1.21E-08,6.042,-28.87440753
1.21E-08,6.043,-29.27496931
1.21E-08,6.044,-29.64622875
1.21E-08,6.045,-29.9921227
1.21E-08,6.046,-30.31588077
1.21E-08,6.047,-30.62018102
1.21E-08,6.048,-30.90726551
1.21E-08,6.049,-31.17902754
1.21E-08,6.05,-31.43707846
1.21E-08,6.051,-31.68279934
1.21E-08,6.052,-31.91738165
1.21E-08,6.053,-32.14185937
